Deep Meaning	Expansion	Markup	Probability
[[request motivation]]	Why do you ask?	PushObligation:explain motivation^ResolveObligation:request motivation	[0, 0.4]
[[request motivation]]	Wait, why do you ask?	PushObligation:explain motivation^ResolveObligation:request motivation	[0.4, 0.6000000000000001]
[[request motivation]]	Why do you want to know that?	PushObligation:explain motivation^ResolveObligation:request motivation	[0.6000000000000001, 0.8]
[[request motivation]]	That's a strange question...	PushObligation:explain motivation^ResolveObligation:request motivation	[0.8, 1.0]
[[end conversation]]	Well, I have to go. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye	[0, 0.0012842465753424657]
[[end conversation]]	Nice to see you. Have a great [speaker.game.time_of_day].	PushObligation:goodbye	[0.0012842465753424657, 0.0029965753424657533]
[[end conversation]]	Okay, well, I have to go. Nice to see you. Bye.	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation	[0.0029965753424657533, 0.003424657534246575]
[[end conversation]]	I think I should get back to work. Nice to see you. Bye.	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^MiscFunctions:EndConversation	[0.003424657534246575, 0.004708904109589041]
[[end conversation]]	Well, I really should get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.004708904109589041, 0.007277397260273972]
[[end conversation]]	Well, I have to get back to work. Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.007277397260273972, 0.008561643835616438]
[[end conversation]]	I have to get back to work too! Nice to see you. Bye.	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.008561643835616438, 0.009845890410958904]
[[end conversation]]	Okay, well, I really should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.009845890410958904, 0.011558219178082191]
[[end conversation]]	I'm sorry, but I need to get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.011558219178082191, 0.014126712328767123]
[[end conversation]]	Well, I really have to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.014126712328767123, 0.015839041095890412]
[[end conversation]]	Okay, well, I think I should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.015839041095890412, 0.020976027397260275]
[[end conversation]]	I really need to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.020976027397260275, 0.02226027397260274]
[[end conversation]]	I'm sorry, but I think I should get back to work. Nice to see you. Take care.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.02226027397260274, 0.023544520547945202]
[[end conversation]]	I'm sorry, but I have to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.023544520547945202, 0.02525684931506849]
[[end conversation]]	I probably should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.02525684931506849, 0.025684931506849314]
[[end conversation]]	I'm sorry, but I need to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.025684931506849314, 0.026969178082191778]
[[end conversation]]	I'm sorry, but I should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.026969178082191778, 0.02825342465753424]
[[end conversation]]	I really should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.02825342465753424, 0.028681506849315065]
[[end conversation]]	I'm going to grab another drink. Nice to see you. Bye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.location.type == 'business' and 'bar' in speaker.location.services and not speaker.routine.working^PushObligation:goodbye^ResolveObligation:goodbye^MiscFunctions:EndConversation	[0.028681506849315065, 0.02910958904109589]
[[end conversation]]	I really should get back to work too! Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.02910958904109589, 0.03125]
[[end conversation]]	I probably should get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.03125, 0.031678082191780824]
[[end conversation]]	I should get back to work. Yeah, bye...	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.031678082191780824, 0.03339041095890411]
[[end conversation]]	Okay, well, I need to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.03339041095890411, 0.03424657534246575]
[[end conversation]]	Okay, well, I really need to get back to work. Nice to see you. Take care.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.03424657534246575, 0.0351027397260274]
[[end conversation]]	Okay, well, I think I probably should get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^MiscFunctions:EndConversation	[0.0351027397260274, 0.035958904109589046]
[[end conversation]]	I'm sorry, but I have to go. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.035958904109589046, 0.03638698630136987]
[[end conversation]]	Okay, well, I should really get back to work. Nice to see you. See you later.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.03638698630136987, 0.037671232876712334]
[[end conversation]]	I think I probably should get back to work. Nice to see you. See you later.	Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.037671232876712334, 0.03938356164383562]
[[end conversation]]	Well, I need to get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.03938356164383562, 0.044520547945205484]
[[end conversation]]	I really should get back to work. Nice to see you. See you later.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.044520547945205484, 0.04494863013698631]
[[end conversation]]	I'm sorry, but I should probably head out. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.04494863013698631, 0.04537671232876713]
[[end conversation]]	I think I should get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.04537671232876713, 0.045804794520547955]
[[end conversation]]	I'm sorry, but I should probably head out. Nice to see you. Bye.	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.045804794520547955, 0.046660958904109595]
[[end conversation]]	I have to get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.046660958904109595, 0.04794520547945206]
[[end conversation]]	I'm sorry, but I think I should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.04794520547945206, 0.04922945205479452]
[[end conversation]]	Well, I should probably head out. Nice to see you. Bye.	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.04922945205479452, 0.05008561643835617]
[[end conversation]]	I'm sorry, but I really need to get back to work. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working	[0.05008561643835617, 0.05393835616438357]
[[end conversation]]	I think I probably should get back to work. Nice to see you. Bye.	Preconditions:lambda speaker: speaker.routine.working^ResolveObligation:goodbye^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^PushObligation:goodbye^MiscFunctions:EndConversation	[0.05393835616438357, 0.05522260273972603]
[[end conversation]]	I really should get back to work too! Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.05522260273972603, 0.0565068493150685]
[[end conversation]]	Well, I think I should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.0565068493150685, 0.060359589041095896]
[[end conversation]]	Well, I should get back to work. Nice to see you. Bye.	PushObligation:goodbye^ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^MiscFunctions:EndConversation	[0.060359589041095896, 0.06292808219178082]
[[end conversation]]	I really should get back to work too! Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'	[0.06292808219178082, 0.06378424657534247]
[[end conversation]]	I need to get back to work too! Nice to see you. Take care.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.06378424657534247, 0.06506849315068494]
[[end conversation]]	I'm sorry, but I probably should get back to work. Great to see you! Have a wonderful [speaker.game.time_of_day]!	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4	[0.06506849315068494, 0.06678082191780824]
[[end conversation]]	I really have to get back to work too! Yeah, bye...	ResolveObligation:goodbye^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'	[0.06678082191780824, 0.06763698630136988]
[[end conversation]]	I'm sorry, but I need to get back to work. Nice to see you. Bye.	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.06763698630136988, 0.07020547945205481]
[[end conversation]]	I'm sorry, but I have to run. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.07020547945205481, 0.07063356164383564]
[[end conversation]]	I have to get back to work too! Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^Preconditions:lambda conversation: 'back to work' in conversation.completed_turns[-1].realization^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion > 0.4^Preconditions:lambda speaker, interlocutor: speaker.routine.working and interlocutor.routine.working	[0.07063356164383564, 0.07277397260273974]
[[end conversation]]	Okay, well, I should probably get back to work. Nice to see you. See you later.	Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is speaker^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.07277397260273974, 0.07405821917808221]
[[end conversation]]	I'm sorry, but I should get back to work. Yeah, bye...	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.extroversion < -0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working	[0.07405821917808221, 0.07534246575342468]
[[end conversation]]	I'm sorry, but I think I probably should get back to work. Nice to see you. Bye.	ResolveObligation:goodbye^Preconditions:lambda conversation, speaker: conversation.completed_turns[-1].speaker is not speaker^PushObligation:goodbye^Preconditions:lambda speaker: speaker.personality.agreeableness > 0.4^MiscFunctions:EndConversation^Preconditions:lambda speaker: speaker.routine.working^Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'	[0.07534246575342468, 0.07791095890410961]
[[end conversation]]	I think I should get back to work. Nice to see you. Goodbye.	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name != 'end conversation'^Preconditions:lambda speaker: speaker.routine.working^PushObligation:goodbye	[0.07791095890410961, 0.07833904109589043]
[[end conversation]]	Sure. Nice to see you. Have a great [speaker.game.time_of_day].	Preconditions:lambda conversation: conversation.completed_turns[-1].line_of_dialogue.discourse_act.name == 'end conversation'^PushObligation:goodbye	[0.07833904109589043, 0.07919520547945208]
